id,generation_source,title,description,startTime,endTime,generation_source_continue
Calendar-115,219-6,与上司一对一反馈会议,与上司钱永强进行一对一反馈会议，2025-04-08 13:30 开始，地点为钱永强总监办公室，来源：今日事件,2025-04-08 13:30:00,2025-04-08 15:00:00,219-f
Calendar-116,219-7,与客户黄思琪视频会议,与客户黄思琪进行视频会议，讨论比特币ETF配置兴趣，2025-04-10 13:30:00 开始，预计时长约2小时，地点：公司小会议室，来源：个人日程安排,2025-04-10 13:30:00,2025-04-10 15:30:00,219-g
Calendar-117,61-2-1,天文台公众开放日活动,湖南省天文台公众开放日活动，2025-04-11 18:10 开始，包含科普讲座《系外行星：寻找第二个地球》及望远镜观测环节，凭预约码入场，来源：湖南省天文台官网,2025-04-11 18:10:00,2025-04-11 21:30:00,61-b
Calendar-118,89-4-1,车辆年检（长沙安通检测站）,车辆年检，2025-04-12 10:05 开始，地点：长沙安通机动车检测站，需携带行驶证、交强险保单，来源：检测站预约确认,2025-04-12 10:05:00,2025-04-12 10:05:00,89-d
Calendar-119,217-2-1,个人财务状况月度复盘,个人财务状况月度复盘，2025-04-13 13:00 开始，预计时长2.5小时，需复盘4月至今的投资组合表现、现金流和应急储备金，记录关键数据和结论，来源：个人财务管理系统。,2025-04-13 13:00:00,2025-04-13 15:30:00,217-b
Calendar-120,217-2-3,执行奖金分配操作,执行奖金分配操作，2025-04-13 15:50 开始，预计时长0.5小时，需使用手机银行和证券APP将奖金按比例转入指数基金定投账户、货币基金账户和活期账户，并更新财务记录，来源：个人财务规划。,2025-04-13 15:50:00,2025-04-13 16:20:00,217-b
Calendar-121,10-1,专注筹备明日客户会议,与同事郑文博、孙晓雅进行会前沟通，同步信息并明确各自角色，主导拟定会议议程草案，重点构建比特币ETF的风险收益分析框架，来源：今日工作安排,2025-04-14 13:40:00,2025-04-14 15:10:00,10-a
Calendar-122,10-2-2,黄思琪科技公司上市项目跟进,撰写并发送《黄思琪科技公司上市服务项目关键会议纪要》给项目相关方，2025-04-15 09:15 开始，来源：今日工作安排,2025-04-15 09:15:00,2025-04-15 12:00:00,10-b
Calendar-123,215-2,恒大雅苑健身中心私教体验课,与王教练进行一对一体验与咨询，评估体能并制定四周训练计划，2025-04-15 18:10 开始，来源：健身中心预约,2025-04-15 18:10:00,2025-04-15 19:30:00,215-b
Calendar-124,10-3,上午工作与汇报,上午工作与汇报，2025-04-16 09:40 开始，地点：华泰证券办公室，向直属上司钱永强汇报昨日项目会议成果，来源：当日工作安排,2025-04-16 09:40:00,2025-04-16 12:00:00,10-c
Calendar-125,10-4,黄思琪科技公司并购项目启动会,09:00 至 10:30 在华泰证券办公室主持黄思琪科技公司并购项目启动会，与郑文博、孙晓雅讨论尽职调查重点、风险点和分工，制定时间表，来源：今日工作安排,2025-04-17 09:00:00,2025-04-17 10:30:00,10-d
Calendar-126,16-6,CFA备考复习,CFA备考复习，2025-04-16 20:10 开始，复习《另类投资》科目，结合实际案例加深理解，来源：个人学习计划,2025-04-16 20:10:00,2025-04-16 21:30:00,16-f
Calendar-127,215-5,处理健康与家庭保险,2025-04-20 10:20 开始，调整健康管理APP拉伸提醒时间，通过微信语音联系保险经纪人李华咨询中老年医疗险细节，请对方发送产品对比表，约定明天做最终决定，来源：当日事件记录,2025-04-20 10:20:00,2025-04-20 11:00:00,215-e
Calendar-128,13-1-1,制定CFA冲刺计划,2025-04-20 11:00 开始，摊开CFA三级教材和错题本，列出需强化的知识点和薄弱环节，在Excel中制作从4月25日到考试前的详细周计划表，同步到手机日历和Todoist软件，来源：当日事件记录,2025-04-20 11:00:00,2025-04-20 12:30:00,13-a
Calendar-129,91-2-3,预联系广州客户,2025-04-20 16:00 开始，致电两位广州潜在客户，自我介绍并说明华泰证券服务优势及出差拜访意愿，成功与客户A预约4月23日下午面谈，与客户B秘书确定4月24日上午会面，来源：当日事件记录,2025-04-20 16:00:00,2025-04-20 17:00:00,91-b
Calendar-130,10-6,与客户黄思琪视频会议,与客户黄思琪进行并购项目进展视频会议，2025-04-21 09:30开始，预计时长2.5小时，地点：公司小会议室，来源：工作日程安排,2025-04-21 09:30:00,2025-04-21 12:00:00,10-f
Calendar-131,91-3,检查明日高铁及酒店行程,确认明日G6113次高铁电子车票及广州酒店预订信息，2025-04-21 20:40开始，预计时长20分钟，来源：个人出行准备,2025-04-21 20:40:00,2025-04-21 21:00:00,91-c
Calendar-132,91-4-3,拜访潜在客户（家族办公室）,拜访潜在客户（家族办公室），2025-04-22 09:35:00 开始，地点：富力盈凯广场客户公司会议室，来源：今日事件安排,2025-04-22 09:35:00,2025-04-22 11:05:00,91-d
Calendar-133,,与黄思琪深度投资汇报会议,与客户黄思琪及其助理在广州市天河区珠江新城珠江西路5号广州国际金融中心（西塔）某会议室进行深度投资汇报会议，2025-04-23 13:20:00 开始，预计持续约3小时，来源：今日事件安排,2025-04-23 13:20:00,2025-04-23 16:30:00,
Calendar-134,92-2,客户跟进计划制定,为两位广州潜在客户制定长期跟进计划，包括每季度分享资讯、每半年电话/视频沟通以及适时推荐产品。,2025-04-25 09:00:00,2025-04-25 10:30:00,92-b
Calendar-135,148-1,确定研究主题与范围,明确本次研究聚焦于数字资产与加密货币的全球监管趋势及机构投资策略。需要关注的关键机构包括：IMF、贝莱德、SEC。,2025-04-25 10:00:00,2025-04-25 11:30:00,148-a
Calendar-136,10-8,审阅法律尽职调查清单草案,与郑文博一同审阅，基于客户黄思琪的商业诉求，重点关注知识产权和核心人员合同条款。,2025-04-25 14:00:00,2025-04-25 16:00:00,10-h
Calendar-137,92-3,发送客户感谢邮件,向广州两位潜在客户发送定制化感谢邮件，附行业动态摘要及简版市场展望，为后续跟进奠定基础，来源：个人工作安排,2025-04-26 16:00:00,2025-04-26 16:40:00,92-c
Calendar-138,218-4,为父母办理线上投保,为父母（冯建国、李秀英）办理线上医疗保险，2025-04-27 13:15 开始，需核对信息、完成身份验证与支付，来源：保险经纪人链接,2025-04-27 13:15:00,2025-04-27 13:15:00,218-d
Calendar-139,10-9,主持黄思琪并购项目周会,黄思琪并购项目周会，2025-04-28 09:30 开始，地点：华泰证券办公室3号会议室，需提前测试视频会议系统，来源：工作安排,2025-04-28 09:30:00,2025-04-28 11:10:00,10-i
Calendar-140,10-10,在家办公：发送估值模型与邮件处理,在家办公处理并购估值模型，2025-04-30 08:50 开始，完成模型校验、发送给客户黄思琪、处理邮件、与同事郑文博确认细节，来源：当日工作安排,2025-04-30 08:50:00,2025-04-30 10:00:00,10-j
Calendar-141,9-6,公司办公：月度回顾与五月计划微调,在公司进行四月工作与CFA备考回顾，微调五月冲刺计划，2025-04-30 13:15 开始，预计时长2小时15分钟，来源：个人工作计划,2025-04-30 13:15:00,2025-04-30 15:30:00,9-f
Calendar-142,15-1,CFA三级五月复习总规划制定,CFA三级五月复习总规划制定，2025-05-01 08:35:00 开始，使用Excel创建甘特图，划分基础强化、专题突破、模拟冲刺三阶段，导入番茄ToDo APP设置提醒，来源：当日事件规划,2025-05-01 08:35:00,2025-05-01 10:15:00,15-a
Calendar-143,13-9-1,CFA三级全真模拟考试（上午场）,CFA三级全真模拟考试（上午场），2025-05-03 09:00 开始，时长3.5小时，需严格遵守考试时间，来源：个人备考计划,2025-05-03 09:00:00,2025-05-03 12:30:00,13-i
Calendar-144,221-1-1,优化客户方案与准备应对材料,为深圳客户黄思琪公司优化动态资产配置模型并准备专项应对材料，2025-05-04 09:20 开始，来源：今日工作安排,2025-05-04 09:20:00,2025-05-04 12:30:00,221-a
Calendar-145,221-3-1,关键客户方案视频汇报会,关键客户方案视频汇报会，2025-05-06 09:30 开始，向黄思琪团队进行定制化财富管理方案汇报，来源：今日事件,2025-05-06 09:30:00,2025-05-06 12:30:00,221-c
Calendar-146,43-1,上海金融科技峰会行程,上海金融科技峰会，2025-05-08 09:00 开始，上海国际会议中心，凭电子票和身份证入场，已下载议程并标出重点演讲，来源：峰会官网,2025-05-08 09:00:00,2025-05-08 17:00:00,43-a
Calendar-147,43-2,金融科技峰会上午场活动,亚洲金融科技峰会上午场（上海国际会议中心），2025-05-08 09:05 开始，包含主旨演讲与专题论坛，来源：峰会日程,2025-05-08 09:05:00,2025-05-08 13:20:00,43-b
Calendar-148,43-2,金融科技峰会下午场活动,亚洲金融科技峰会下午场（上海国际会议中心），2025-05-08 13:30 开始，包含圆桌讨论与闭幕演讲，来源：峰会日程,2025-05-08 13:30:00,2025-05-08 17:00:00,43-b
Calendar-149,43-3,亚洲金融科技峰会第二天,亚洲金融科技峰会第二天活动，重点关注区块链专题，2025-05-09 08:35:00 开始，地点：上海国际会议中心，来源：峰会日程,2025-05-09 08:35:00,2025-05-09 12:00:00,43-c
Calendar-150,84-2-1,高尔夫社交与商务午餐,与客户林志豪及其商业伙伴在青竹湖国际高尔夫球会进行球叙及商务午餐，2025-05-10 10:20 开始，预计4小时，来源：今日日程安排,2025-05-10 10:20:00,2025-05-10 14:20:00,84-b
Calendar-151,84-1,与林志豪高尔夫活动,与客户林志豪高尔夫活动，开球时间 2025-05-10 09:00，地点：长沙某高尔夫俱乐部，着装要求：商务休闲，来源：微信沟通,2025-05-10 09:00:00,2025-05-10 09:00:00,84-a
Calendar-152,120-3-1,照料阳台植物,下班回家后，照料阳台植物。具体操作包括：使用消毒过的剪刀修剪薄荷过密和老化的叶片以改善通风，并轻轻扶正长高的小番茄苗苗杆。,2025-05-14 18:30:00,2025-05-14 19:00:00,120-c
Calendar-153,229-4,深入探讨个人品牌建设,与冯浩然、郑文博就峰会启发进行讨论，重点包括个人品牌、ENTJ特质和数字化内容策略。,2025-05-14 15:00:00,2025-05-14 16:30:00,229-a
Calendar-154,229-1,午餐交流-郑文博,"地点：办公室附近餐厅
备注：分享近期参会心得",2025-05-14 12:00:00,2025-05-14 13:00:00,229-a
Calendar-155,229-2,午休：与郑文博去湘菜馆,午休时间到，冯浩然与郑文博一同步行前往公司附近常去的湘菜馆，路上简单聊了聊上午的工作。,2025-05-14 12:00:00,2025-05-14 13:30:00,229-a
Calendar-156,229-6,与同事讨论播客想法,午餐后达成的约定，深入聊聊播客的想法。,2025-05-16 15:00:00,2025-05-16 16:00:00,229-a
Calendar-157,229-5,播客合作讨论,与郑文博就合作开设投资理财播客频道的提议进行初步讨论，探讨可行性、内容方向及潜在挑战，旨在建立专业影响力。,2025-05-14 15:00:00,2025-05-14 16:00:00,229-a
Calendar-158,225-2-1,沉浸式话剧《时间旅行者的妻子》,沉浸式话剧《时间旅行者的妻子》，2025-05-14 19:30 开演，地点：长沙市青少年宫小杜鹃梦想剧场，电子票码 T202505141745，凭二维码检票入场，来源：大麦网,2025-05-14 19:30:00,2025-05-14 21:10:00,225-b
Calendar-159,15-8,年度体检报告查阅,收到年度体检报告电子版推送，需查阅关键健康指标，时间：2025-05-15 14:00:00，来源：体检中心APP,2025-05-15 14:00:00,2025-05-15 14:00:00,15-h
Calendar-160,120-4,小番茄发芽,清晨发现小番茄种植盆冒出绿色嫩芽，拍照记录，并调整浇水策略为用喷壶轻柔喷洒。,2025-05-17 07:00:00,2025-05-17 07:30:00,120-d
Calendar-161,222-2,与父母每周视频通话,与在武汉的父母进行每周例行视频通话，2025-05-18 19:30 开始，预计持续约1小时，来源：家庭约定,2025-05-18 19:30:00,2025-05-18 20:30:00,222-b
Calendar-162,222-3-1,早餐与处理体检报告,早餐时查阅隔夜市场概览，随后收到体检报告通知，发现总胆固醇、低密度脂蛋白超标和轻度脂肪肝倾向。立即通过平安好医生平台预约当天13:30的在线视频咨询，并将预约加入日历，来源：体检机构通知与平安好医生APP,2025-05-19 07:50:00,2025-05-19 08:20:00,222-c
Calendar-163,14-1-1,在线医疗咨询,与医生进行视频咨询，通过屏幕共享展示体检报告，医生给出明确建议：调整饮食以减少外卖、增加纤维蛋白；保证每周150分钟有氧和力量运动；管理压力与作息，来源：平安好医生平台,2025-05-19 13:10:00,2025-05-19 13:50:00,14-a
Calendar-164,227-2-1,购买医疗保险,在书房打开电脑和保险平台APP，依次为父亲冯建国和母亲李秀英填写投保信息，仔细核对后使用信用卡完成两份保单支付，电子保单即时生成，来源：保险平台APP,2025-05-19 20:00:00,2025-05-19 20:40:00,227-b
Calendar-165,85-3,接听客户林志豪关键电话,客户林志豪主动致电探讨公司资本运作需求，时间 2025-05-20 09:00，来源：今日工作事件,2025-05-20 09:00:00,2025-05-20 09:00:00,85-c
Calendar-166,15-11-1,CFA三级考试考前准备,浏览CFA三级错题本和核心公式卡片，清点并放入准考证、计算器、身份证、文具等考试用品到背包，确认考场和交通路线，时间 2025-05-20 19:30，来源：今日学习事件,2025-05-20 19:30:00,2025-05-20 19:30:00,15-k
Calendar-167,16-6,考后复盘与睡前准备,CFA三级全真模拟考试结束后，2025-05-22 00:30至2025-05-22 01:00进行考后复盘与睡前准备，包括初步复盘、整理文具、睡前洗漱、在手机备忘录记录感受与规划明日重点，来源：当日事件,2025-05-22 00:30:00,2025-05-22 01:00:00,16-f
Calendar-168,15-12-1,与彭雨晴晚餐聚餐,与密友彭雨晴在坡子街日式拉面店晚餐聚餐谈心，2025-05-22 19:40至2025-05-22 21:10，倾诉健康焦虑与CFA备考压力，来源：当日事件,2025-05-22 19:40:00,2025-05-22 21:10:00,15-l
Calendar-169,,父母保险产品对比,对比两款中老年医疗险产品（平安e生保与泰康在线），2025-05-23 21:30 开始研究，要点已保存至备忘录，来源：保险产品官网,2025-05-23 21:30:00,2025-05-23 22:00:00,
Calendar-170,13-10-1,周末专项强化练习,根据周六复盘发现的薄弱环节，进行专项强化练习，重点攻克难点和易错题型，巩固知识点，提升解题熟练度和准确性。,2025-05-25 09:00:00,2025-05-25 12:00:00,13-j
Calendar-171,85-4,草拟资本合作框架,基于客户林志豪的反馈，草拟《关于XX集团潜在资本优化与资产证券化路径的初步合作框架》文档，时间 2025-05-25 09:00 开始，来源：今日工作计划,2025-05-25 09:00:00,2025-05-25 11:30:00,85-d
Calendar-172,13-15,CFA三级模拟考试,CFA三级下午题Item Set全真模拟，2025-05-26 20:00 开始，时长2小时，需准备答题卡、计时器，来源：个人备考计划,2025-05-26 20:00:00,2025-05-26 22:00:00,13-o
Calendar-173,230-5,每日正念练习,基于首次良好体验，决定将10分钟正念呼吸练习纳入每日学习间隙或睡前固定环节，以持续管理备考压力。,2025-05-26 21:00:00,2025-05-26 21:10:00,230-a
Calendar-174,125-3,与父母视频沟通换房想法,与武汉的父母冯建国、李秀英进行视频通话，沟通基于健康和职业发展考虑的换房想法，时间 2025-05-29 19:30，预计时长45分钟，来源：个人计划,2025-05-29 19:30:00,2025-05-29 20:15:00,125-c
Calendar-175,232-3-1,与父母视频通话,与父母冯建国和李秀英视频通话，2025-06-02 14:50开始，预计通话时长约80分钟，来源：个人安排,2025-06-02 14:50:00,2025-06-02 16:10:00,232-c
Calendar-176,85-5,处理紧急客户报告,处理客户林志豪的紧急投资报告，2025-06-03 09:00 开始，地点：华泰证券办公室，来源：今日工作安排,2025-06-03 09:00:00,2025-06-03 11:00:00,85-e
Calendar-177,,与客户黄思琪沟通方案,视频会议，提交并沟通《海外资产配置建议书》给客户黄思琪，2025-06-05 09:40 开始，来源：今日工作安排,2025-06-05 09:40:00,2025-06-05 11:10:00,
Calendar-178,234-4-1,为父母预订机票,为父母预订南方航空机票，支付并下载电子行程单，2025-06-05 19:40 开始，来源：个人家庭安排,2025-06-05 19:40:00,2025-06-05 19:40:00,234-d
Calendar-179,16-11-1,CFA三级考试上午场,CFA三级考试上午场（论述题和案例分析），2025-06-07 08:20 开始入场，地点湖南国际会展中心，凭准考证和身份证入场，来源：CFA协会考试安排,2025-06-07 08:20:00,2025-06-07 12:00:00,16-k
Calendar-180,16-11-1,CFA三级考试下午场,CFA三级考试下午场（选择题），2025-06-07 13:30 开始入场，地点湖南国际会展中心，凭准考证和身份证入场，来源：CFA协会考试安排,2025-06-07 13:30:00,2025-06-07 17:30:00,16-k
Calendar-181,16-11-2,考后庆功聚餐,考后庆功聚餐，2025-06-07 19:15 开始，地点西湖建新安置小区湘菜馆，与同事好友郑文博、孙晓雅、彭雨晴聚餐，来源：个人安排,2025-06-07 19:15:00,2025-06-07 22:00:00,16-k
Calendar-182,1-14-3,与上司钱总一对一汇报,向投资总监钱永强汇报CFA考试完成情况、上午工作成果和黄思琪方案进展，提交书面工作计划，接受反馈并讨论夏季市场风险对冲策略，来源：今日工作安排,2025-06-09 13:30:00,2025-06-09 14:30:00,1-t
Calendar-183,1-14-1,下午工作：处理咨询与准备出差,根据上司反馈优化客户方案的风险对冲部分，增加情景分析，并逐一回复上午标记的客户邮件，撰写个性化分析。同时登录差旅系统预订北京出差的机票和酒店，打印装订方案摘要，完成当日工作收尾和明日待办清单更新，来源：今日工作安排,2025-06-09 14:30:00,2025-06-09 17:30:00,1-t
Calendar-184,2-4-1,远程办公周（武汉出差）,已整理工作文件（笔记本电脑、移动电源、客户资料）并通知同事及部分客户。,2025-06-10 09:00:00,2025-06-16 18:00:00,2-h
Calendar-185,52-4-1,上午集中工作与客户沟通,上午集中工作与客户沟通，2025-06-10 08:30 开始，地点：华泰证券办公室，来源：当日事件描述,2025-06-10 08:30:00,2025-06-10 12:00:00,52-d
Calendar-186,2-9-1,客户事务处理与出差准备,与同事孙晓雅电话会议同步客户报告和明日会面细节，随后回复客户咨询并参加团队市场快评会，最终检查明日出差材料，来源：今日工作计划,2025-06-11 13:40:00,2025-06-11 17:45:00,2-m
Calendar-187,,整理出差行李,整理出差行李，包括西装、衬衫、领带等，核对证件、报告和电子设备，同时查看并回复晚间工作邮件，来源：今日工作计划,2025-06-11 20:50:00,2025-06-11 21:30:00,
Calendar-188,3-2,撰写年度工作总结与业绩报告,整理全年工作记录，梳理投资项目业绩、客户资产增长、市场分析报告产出及个人能力提升点。,2025-06-13 00:00:00,2025-06-13 23:59:59,3-j
Calendar-189,52-6,明日聚餐与博物馆参观安排,与好友彭雨晴明晚19:00在湘江36号V08包间聚餐，已确认。中国邮票博物馆明日开放时间09:00-17:00，有特展，凭身份证参观，来源：微信沟通与官网查询,2025-06-13 19:00:00,2025-06-13 19:00:00,52-f
Calendar-190,1-12,与客户黄思琪视频会议,与深圳客户黄思琪进行视频会议，通报市场波动及投资组合影响评估，讨论防御性调仓思路，来源：工作安排,2025-06-12 13:30:00,2025-06-12 14:15:00,1-r
Calendar-191,19-2-1,调仓计划执行,个人投资组合调仓操作，减持高估值科技股，增持消费ETF和医疗ETF，2025-06-13 09:30 开始，来源：个人投资计划,2025-06-13 09:30:00,2025-06-13 09:30:00,19-b
Calendar-192,3-1,处理积压客户事务,冯浩然回到长沙华泰证券办公室，集中精力处理因请假期间积压的客户邮件、咨询和交易指令，确保客户服务连续性和投资组合正常运作。,2025-06-13 09:00:00,2025-06-13 18:00:00,3-i
Calendar-193,3-4,年底客户回访行程规划,根据与上司沟通结果，开始具体规划年底对重点客户的回访行程。初步规划的重点客户名单包括：黄思琪、林志豪等。需要考虑客户的地域分布，合理安排行程路线。需要安排的大致时间段为2025年12月中下旬。,2025-06-13 14:00:00,2025-06-13 15:30:00,3-l
Calendar-194,3-5,整理述职汇报材料,加班整理总结报告、业绩数据图表、客户反馈至PPT，为年度述职评审会做准备。,2025-06-14 09:00:00,2025-06-14 18:00:00,3-m
Calendar-195,52-7-7,整理出差物品,整理次日返程行李，包括西装、衬衫、洗漱用品、会议资料和名片盒，核对并完成CA1343航班值机，来源：个人安排,2025-06-14 20:30:00,2025-06-14 21:30:00,52-g
Calendar-196,236-1,职业发展面谈预约,通过企业微信向上司钱永强发送职业发展面谈预约信息，提及CFA三级考试完成及近期工作成果，来源：企业微信,2025-06-16 09:30:00,2025-06-16 09:30:00,236-a
Calendar-197,4-8,与客户黄思琪视频会议,与客户黄思琪进行视频会议，讨论科技板块配置及新能源早期投资，明确下一步提供《新能源早期投资可行性分析报告》，来源：公司内部会议系统,2025-06-16 14:30:00,2025-06-16 16:10:00,4-i
Calendar-198,19-4,个人投资组合调仓,A股开盘后执行调仓计划，卖出部分高估值科技股，买入消费和医疗健康板块ETF，来源：个人交易系统,2025-06-17 09:30:00,2025-06-17 09:30:00,19-d
Calendar-199,236-2,与钱总的职业发展面谈,在钱总办公室进行一小时职业发展面谈，汇报CFA三级进展与客户成果，讨论投资总监发展路径，来源：与钱总预约,2025-06-17 13:30:00,2025-06-17 14:30:00,236-b
Calendar-200,19-5,检查调仓资产表现,调仓操作完成后，冯浩然更新了个人投资组合的记录，并设置了对新调入资产的定期跟踪提醒，以观察本次应对操作的中长期效果。,2025-06-18 09:00:00,2025-06-18 09:30:00,19-e
Calendar-201,239-1-2,与发小视频通话,从餐厅返回岳麓区家中，洗漱并换上家居服。检查Wi-Fi网络确保视频流畅，冲好手冲咖啡准备长谈。备注：已确认网络连接良好。,2025-06-18 20:30:00,2025-06-18 22:00:00,239-a
Calendar-202,237-1,下午深度工作与项目立项,客户黄思琪项目内部立项申请，2025-06-19 13:45 开始，需深度研读客户资料并撰写立项报告，来源：华泰证券内部工作安排,2025-06-19 13:45:00,2025-06-19 17:45:00,237-a
Calendar-203,20-2,首次深度客户需求分析会议,视频会议，与客户黄思琪进行首次深度需求分析，2025-06-20 10:00 开始，预计时长1.5小时，会议号 123456789，来源：公司日程系统,2025-06-20 10:00:00,2025-06-20 11:30:00,20-b
Calendar-204,5-2,与露营伙伴敲定暑期计划,视频连线，与朋友谢雨桐讨论并确定7月15日至18日丹霞山露营行程细节，2025-06-20 21:20 开始，预计时长40分钟，来源：个人约定,2025-06-20 21:20:00,2025-06-20 22:00:00,5-b
Calendar-205,237-4,主导新客户视频会议,与长沙某科技企业创始人的初步接洽视频会议，2025-06-23 13:30 开始，会议链接已通过王经理获取，来源：公司内部预约,2025-06-23 13:30:00,2025-06-23 15:00:00,237-d
Calendar-206,56-2,预订澳门酒店,预订澳门氹仔某酒店包含双早的套餐，2025-06-23 20:10 开始操作，预定码 CT12345678，备注要求安静高楼层房间，来源：携程APP,2025-06-23 20:10:00,2025-06-23 20:10:00,56-b
Calendar-207,237-6,向上司汇报新客户进展,向上司钱永强汇报长沙科技企业创始人接洽会议成果、客户反馈及跟进计划，2025-06-25 08:50 开始，地点：钱永强办公室，来源：今日工作安排,2025-06-25 08:50:00,2025-06-25 09:20:00,237-f
Calendar-208,56-3,午休事务处理,午休期间处理个人事务，包括预订长沙往返澳门航班、选座、支付，以及在线购买瑜伽季卡并支付，2025-06-25 12:00 开始，来源：个人安排,2025-06-25 12:00:00,2025-06-25 12:25:00,56-c
Calendar-209,20-5,黄思琪项目内部策略会,黄思琪项目内部策略会，2025-06-26 13:30 开始，地点：公司会议室，议题：家族信托架构、跨境税务筹划、美股配置策略，来源：工作安排,2025-06-26 13:30:00,2025-06-26 17:00:00,20-e
Calendar-210,152-2,悦动瑜伽肩颈理疗课,悦动瑜伽生活馆肩颈理疗体验课，2025-06-27 19:30 开始，需提前填写健康问卷，凭预约信息到店，来源：电话确认,2025-06-27 19:30:00,2025-06-27 19:30:00,152-b
Calendar-211,56-4,《水舞间》演出门票预订,澳门《水舞间》演出，2025-07-12 20:00 开场，B区中央座位，电子票确认码 WDSJ20250712B0890，凭电子票二维码入场，来源：水舞间官网,2025-07-12 20:00:00,2025-07-12 20:00:00,56-d
Calendar-212,7-8-1,财务复盘与规划,个人财务复盘与规划，2025-06-29 09:00 开始，预计持续3小时，需核对六月收支、评估调仓、制定七月预算及下半年规划，来源：个人日程安排,2025-06-29 09:00:00,2025-06-29 12:00:00,7-l
Calendar-213,7-8-1,财务规划确认,财务规划最终确认与归档，2025-06-29 18:10 开始，预计持续50分钟，需检查并确认下半年规划文档，打包存入云端，来源：个人日程安排,2025-06-29 18:10:00,2025-06-29 19:00:00,7-l
Calendar-214,79-1,投资顾问部晨会,投资顾问部晨会，2025-07-01 09:30 开始，地点：华泰证券办公室大会议室，主讲人：钱总，主题：个人养老金账户投资范围扩大政策解读，来源：部门日程,2025-07-01 09:30:00,2025-07-01 10:15:00,79-a
Calendar-215,7-9,与父亲冯建国视频沟通财务规划,与父亲冯建国微信视频沟通，2025-06-30 20:40 开始，重点讨论下半年财务规划及换房/装修专项储蓄账户设立计划，来源：微信预约,2025-06-30 20:40:00,2025-06-30 21:20:00,7-m
Calendar-216,22-1,莽山露营视频讨论,莽山露营视频讨论，2025-07-01 13:30 开始，地点：公司小型会议室，参与人：谢雨桐、高云飞等，平台：微信，来源：个人安排,2025-07-01 13:30:00,2025-07-01 14:00:00,22-a
Calendar-217,56-6,中国银行兑换澳门币,兑换澳门币现金用于周末旅行，2025-07-02 13:30 前往，地点：中国银行长沙市马栏山支行（会展路1号），凭身份证办理，来源：午休时间安排,2025-07-02 13:30:00,2025-07-02 13:30:00,56-f
Calendar-218,20-9,上午工作与方案审阅,与同事郑文博在公司小会议室审阅客户黄思琪的资产配置草案，2025-07-03 09:00 开始，讨论配置逻辑、行业轮动和风险，来源：今日工作安排,2025-07-03 09:00:00,2025-07-03 10:30:00,20-i
Calendar-219,22-2,研究莽山路线与核对澳门行程,研究莽山徒步路线并与谢雨桐在线沟通，核对周末澳门之行的机票、酒店和演出门票，2025-07-02 20:10 开始，来源：晚间家庭安排,2025-07-02 20:10:00,2025-07-02 21:20:00,22-b
Calendar-220,20-12,CFA内部分享会,下午3点主持CFA内部分享会，主题为另类投资在当前市场环境下的配置价值，地点华泰证券办公室，来源：今日事件,2025-07-07 15:00:00,2025-07-07 16:30:00,20-l
Calendar-221,20-13,法务咨询预约,与公司法务专员就私募基金、结构性产品合同关键条款（退出机制、费用结构）进行沟通，2025-07-09 10:00 开始，地点：公司会议室，来源：公司内部通讯软件,2025-07-09 10:00:00,2025-07-09 11:30:00,20-m
Calendar-222,20-14,与产品部门会议确认产品细节,与产品部刘经理会议，确认私募股权基金和基础设施公募REITs的可售额度、费率结构、认购流程等细节，为客户投资方案做准备，来源：公司内部会议通知,2025-07-09 10:30:00,2025-07-09 11:00:00,20-n
Calendar-223,64-4,妹妹冯欣然八月行程确认,与妹妹冯欣然确认八月来长沙的日期、高铁班次、酒店信息，已更新行程文档并发送，2025-07-08 20:00 完成沟通，来源：微信视频通话,2025-07-08 20:00:00,2025-07-08 20:00:00,64-d
Calendar-224,22-6,午休与确认露营细节,午休闭目养神，随后在微信群中最终确认明天莽山露营的行程、集合时间、分工和应急预案，来源：个人安排,2025-07-09 13:00:00,2025-07-09 13:30:00,22-f
Calendar-225,126-5,委托房产中介留意新房源,通过微信委托房产中介陆家明留意滨江板块的房源，重点确认产权、抵押、售房原因和报价情况，并请求关注急售优质房源，来源：个人委托,2025-07-09 15:30:00,2025-07-09 15:50:00,126-e
Calendar-226,,晚间锻炼与露营准备,晚间锻炼与露营准备，2025-07-10 19:40 开始，包括30分钟Keep全身舒缓拉伸和瑜伽，以及为周末莽山露营清点装备、清洁摄影器材，来源：个人规划,2025-07-10 19:40:00,2025-07-10 21:00:00,
Calendar-227,126-6,整理评估房源清单,汇总线上房源信息至Excel，根据通勤、物业、户型、价格等维度进行初步打分排序，形成优先看房清单,2025-07-12 14:00:00,2025-07-12 16:00:00,126-f
Calendar-228,20-16-1,与黄思琪女士关键客户面签,与客户黄思琪女士进行最终方案演示与协议签署，2025-07-16 13:00 开始，地点：深圳市南山区科苑北路6号科技园金融基地客户公司会议室，来源：客户预约确认邮件,2025-07-16 13:00:00,2025-07-16 14:15:00,20-p
Calendar-229,,黄思琪资产配置方案完成,客户黄思琪的资产配置最终版方案汇总校准完成，2025-07-15 12:00 前通过公司系统发送，来源：华泰证券工作系统,2025-07-15 12:00:00,2025-07-15 12:00:00,
